,Landfill Name,State,County
180,Chicago Grade LF,CA,San Luis Obispo
181,China Grade SLF,CA,Kern
183,Chiquita Canyon SLF,CA,Los Angeles
184,City of Clovis LF,CA,Fresno
185,City of Fresno Landfill,CA,Fresno
186,City of Lompoc SLF,CA,Santa Barbara
187,City of Paso Robles LF,CA,San Luis Obispo
189,City of Sacramento Landfill,CA,Sacramento
190,City of Santa Cruz SLF,CA,Santa Cruz
191,City of Ukiah Solid Waste Disposal Site,CA,Mendocino
192,City of Watsonville Landfill,CA,Santa Cruz
195,Clover Flat Landfill,CA,Napa
196,Coachella Valley Disposal Site,CA,Riverside
197,Coalinga Disposal Site,CA,Fresno
198,Cold Canyon LF Solid Waste Disposal Site,CA,San Luis Obispo
199,Colton Sanitary Landfill,CA,San Bernardino
200,Contra Costa SLF,CA,Contra Costa
201,Corona Disposal Site,CA,Riverside
202,Corral Hollow LF,CA,San Joaquin
203,Coyote Canyon SLF,CA,Orange
204,Crazy Horse Landfill,CA,Monterey
205,Crescent City SLF,CA,Del Norte
206,Cummings Road Landfill,CA,Humboldt
207,CWMI - KHF (MSW Landfill B-19),CA,Kings
208,Davis Street LF,CA,Alameda
213,Double Butte Disposal Site,CA,Riverside
218,Eastlake SLF,CA,Lake
219,Edom Hill Disposal Site,CA,Riverside
221,El Sobrante SLF,CA,Riverside
224,Fairmead Solid Waste Disposal Site,CA,Madera
225,Fink Road LF,CA,Stanislaus
226,"Foothill Sanitary Landfill, Inc.",CA,San Joaquin
229,Forward Landfill,CA,San Joaquin
231,Frank R. Bowerman SLF,CA,Orange
234,Geer Road SLF,CA,Stanislaus
239,Guadalupe Rubbish Disposal Facility,CA,Santa Clara
240,Hanford SLF,CA,Kings
242,Harney Lane SLF,CA,San Joaquin
243,Healdsburg Landfill,CA,Sonoma
244,Herlong Disposal Facility,CA,Lassen
245,Hesperia Refuse Disposal Site,CA,San Bernardino
246,Highgrove SLF,CA,Riverside
247,Highway 59 Landfill,CA,Merced
248,Hillside Solid Waste Disposal Site,CA,San Mateo
250,Hot Spa Cut & Fill Site,CA,Imperial
254,Industry Hills Sheraton Resort,CA,Los Angeles
257,John Smith Road Class III Landfill,CA,San Benito
258,Johnson Canyon SLF,CA,Monterey
260,Keller Canyon LF,CA,Contra Costa
264,Kiefer LF,CA,Sacramento
265,Kirby Canyon Recycling & Disposal Facility,CA,Santa Clara
266,L & D Landfill Company,CA,Sacramento
268,Lamb Canyon Sanitary Landfill,CA,Riverside
269,Lancaster Landfill,CA,Los Angeles
270,Landers Sanitary Landfill,CA,San Bernardino
271,Las Pulgas LF,CA,San Diego
275,Lenwood-Hinkley Refuse Disposal Site,CA,San Bernardino
276,Lewis Road SLF,CA,Monterey
278,Lopez Canyon SLF,CA,Los Angeles
279,Lost Hills SLF,CA,Kern
281,Loyalton LF,CA,Sierra
282,Lucerne Valley Disposal Site,CA,San Bernardino
285,Marsh Road LF,CA,San Mateo
287,McCourtney LF,CA,Nevada
288,McFarland-Delano SLF,CA,Kern
289,Mead Valley Disposal Site,CA,Riverside
292,Mid-Valley Sanitary LF,CA,San Bernardino
293,Milliken SLF,CA,San Bernardino
294,Mission Canyon Landfill,CA,Los Angeles
295,Mission Hills,CA,Los Angeles
296,Mojave-Rosamond SLF,CA,Kern
297,Monterey Peninsula SLF,CA,Monterey
298,Morongo Disposal Site,CA,San Bernardino
300,Neal Road Recycling and Waste Facility,CA,Butte
301,Needles Solid Waste Disposal Site,CA,San Bernardino
303,Newberry Springs Disposal Site,CA,San Bernardino
304,"Newby Island SLF Phases I, II, & III",CA,Santa Clara
305,Niland Cut & Fill Site,CA,Imperial
307,North County SLF,CA,San Joaquin
308,North Miramar SLF,CA,San Diego
311,Olinda Alpha SLF,CA,Orange
312,"Operating Industries, Inc. LF (OII)",CA,Los Angeles
313,Orange Avenue Disposal Inc.,CA,Fresno
315,Otay LF,CA,San Diego
316,Ox Mountain SLF,CA,San Mateo
317,Oxnard Landfills,CA,Ventura
318,Palo Alto LF,CA,Santa Clara
320,Palos Verdes Landfill,CA,Los Angeles
322,Penrose LF,CA,Los Angeles
323,Phelan Refuse Disposal Site,CA,San Bernardino
328,Potrero Hills SLF,CA,Solano
329,Prima Deshecha SLF,CA,Orange
330,Puente Hills LF,CA,Los Angeles
332,Ramona Avenue Landfill,CA,San Diego
334,Recology Hay Road LF,CA,Solano
335,Recology Ostrom Road LF,CA,Yuba
336,Recology Pacheco Pass LF,CA,Santa Clara
337,Recology Yuba-Sutter Landfill,CA,Yuba
339,Redwood SLF,CA,Marin
340,Ridgecrest-Inyokern SLF,CA,Kern
342,Rock Creek LF,CA,Calaveras
347,San Marcos LF,CA,San Diego
349,San Onofre LF,CA,San Diego
350,San Timoteo Solid Waste Disposal Site,CA,San Bernardino
351,Santa Maria Regional Landfill,CA,Santa Barbara
353,Santiago Canyon SLF,CA,Orange
354,Savage Canyon LF,CA,Los Angeles
355,Scholl Canyon SLF,CA,Los Angeles
356,Shafter-Wasco SLF,CA,Kern
357,Sheldon-Arleta LF,CA,Los Angeles
358,Shoreline LF at Mountain View,CA,Santa Clara
360,Sierra Army Depot,CA,Lassen
361,Simi Valley LF,CA,Ventura
363,Sonoma County Central Disposal Site,CA,Sonoma
364,South Chollas SLF,CA,San Diego
366,South Miramar LF,CA,San Diego
367,Southeast Regional Solid Waste Disposal Site,CA,Fresno
368,Spadra LF,CA,Los Angeles
370,Sunnyvale LF,CA,Santa Clara
371,Sunshine Canyon Landfill,CA,Los Angeles
372,Sycamore SLF,CA,San Diego
373,Taft SLF,CA,Kern
374,Tajiguas SLF,CA,Santa Barbara
375,Teapot Dome Landfill,CA,Tulare
377,Tehachapi SLF,CA,Kern
378,Tehama County/Red Bluff Landfill,CA,Tehama
380,Toland Road SLF,CA,Ventura
381,Toyon Canyon LF,CA,Los Angeles
382,Tri-Cities Landfill,CA,Alameda
383,Trona-Argus Refuse Disposal Site,CA,San Bernardino
386,Twentynine Palms Disposal Site,CA,San Bernardino
390,Union Mine Disposal Site,CA,El Dorado
392,Upland LF,CA,San Bernardino
394,Vandenberg Air Force Base LF,CA,Santa Barbara
395,Vasco Road SLF,CA,Alameda
396,Victorville Sanitary Landfill,CA,San Bernardino
397,Visalia Landfill,CA,Tulare
401,West Central LF,CA,Shasta
402,West Contra Costa SLF,CA,Contra Costa
404,West Miramar SLF,CA,San Diego
406,Western Regional SLF,CA,Placer
408,Woodville Landfill,CA,Tulare
409,Yermo Disposal Site,CA,San Bernardino
410,Yolo County Central LF,CA,Yolo
411,Yreka Solid Waste LF,CA,Siskiyou
413,Yucaipa Refuse Disposal Site,CA,San Bernardino
414,Zanker Road (Nine Par) SLF,CA,Santa Clara
415,Archuleta County Landfill,CO,Archuleta
416,Bondad Landfill,CO,La Plata
417,Boulder Landfill,CO,Boulder
418,Broad Canyon Landfill,CO,Montrose
419,Broadacres Landfill Inc.,CO,Pueblo
420,Buffalo Ridge Landfill,CO,Weld
421,Central Weld County SLF,CO,Weld
422,Colorado Springs Landfill,CO,El Paso
424,County Line LF,CO,Douglas
425,Denver Arapahoe Disposal Site (DADS),CO,Arapahoe
426,Denver Regional Landfill (North),CO,Weld
427,Denver Regional Landfill (South),CO,Weld
428,Eagle County Landfill,CO,Eagle
429,East Regional Landfill (ERL),CO,Adams
430,Foothills Landfill,CO,Jefferson
431,Fountain Landfill,CO,El Paso
432,Front Range Landfill,CO,Weld
434,Larimer County Landfill,CO,Larimer
436,Mesa County Landfill,CO,Mesa
437,Midway Landfill,CO,El Paso
438,Milner Landfill,CO,Routt
439,Montrose County Landfill,CO,Montrose
440,Morgan County SWDLF,CO,Morgan
441,North Weld SLF,CO,Weld
442,Phantom Landfill,CO,Fremont
443,Pitkin County Solid Waste Center,CO,Pitkin
445,Sedalia Recycling Center & Depository,CO,Douglas
446,South Canyon Landfill,CO,Garfield
447,Southside Solid Waste Disposal Site,CO,Pueblo
448,Summit County Landfill,CO,Summit
450,Tower Landfill Inc.,CO,Adams
455,Canterbury LF,CT,Windham
457,East Windsor LF,CT,Hartford
459,Groton LF,CT,New London
461,Hartford LF,CT,Hartford
463,Manchester LF,CT,Hartford
465,Middletown Avenue Landfill,CT,New Haven
466,Montville LF,CT,New London
467,New Milford LF,CT,Litchfield
470,Putnam LF,CT,Windham
471,Shelton LF,CT,Fairfield
474,Waterbury-North End LF,CT,New Haven
476,Windsor-Bloomfield LF,CT,Hartford
477,Cherry Island Landfill,DE,New Castle
478,Jones Crossroads Landfill,DE,Sussex
479,Pigeon Point Landfill,DE,New Castle
480,Sandtown Landfill,DE,Kent
481,58th Street Landfill,FL,Miami-Dade
482,A.C.M.S. Inc.,FL,Sumter
483,Aucilla Area SW Facility Class I & 2,FL,Madison
484,Baseline Landfill,FL,Marion
485,Bee Ridge LF,FL,Sarasota
487,Brevard County Central Disposal Facility,FL,Brevard
488,Bridgeway Acres LF,FL,Pinellas
489,Broward County Landfill,FL,Broward
490,Buckingham Landfill,FL,Lee
491,Cedar Trail Landfill (CTL),FL,Polk
492,Central County Solid Waste Disposal Complex,FL,Sarasota
493,Citrus County Central Landfill,FL,Citrus
494,Collier County Landfill,FL,Collier
496,Croom SLF,FL,Hernando
497,DeSoto City SLF,FL,Highlands
498,Dyer Boulevard LF,FL,Palm Beach
499,East Duval SLF,FL,Duval
500,Gulf Coast RDF,FL,Lee
501,Hernando County Northwest Landfill,FL,Hernando
502,Highlands County Solid Waste Management Center,FL,Highlands
503,Hillsborough Heights LF,FL,Hillsborough
505,Indian River County LF Class I,FL,Indian River
506,J.E.D. Solid Waste Management Facility,FL,Osceola
507,Jacksonville North SLF,FL,Duval
508,Lake County Central Phase I Landfill,FL,Lake
509,Lantana Landfill,FL,Palm Beach
511,Lee/Hendry County Regional SW Disposal Facility,FL,Hendry
512,Lena Road Class I Landfill,FL,Manatee
513,Leon County Landfill,FL,Leon
514,Madison City/County SLF,FL,Madison
515,Majette North SLF,FL,Bay
516,Martin County Palm City II SLF,FL,Martin
517,Medley Landfill,FL,Miami-Dade
518,Monarch Hill Landfill,FL,Broward
519,New River Regional LF,FL,Union
521,North Central Landfill,FL,Polk
522,North Dade Landfill,FL,Miami-Dade
523,Okeechobee LF,FL,Okeechobee
524,Orange County SLF,FL,Orange
525,Osceola Landfill,FL,Seminole
526,PBCSWA RRF Site #7,FL,Palm Beach
527,PCSW Resource Recovery Facility,FL,Pasco
528,Perdido LF,FL,Escambia
529,Pine Ridge Recycling & Disposal,FL,Orange
530,Putnam County Central SLF,FL,Putnam
532,Rosemary Hill LF Expansion Class I,FL,Clay
533,Saint Cloud City LF Class I,FL,Osceola
534,Sandler Road SLF,FL,Duval
535,Santa Rosa Central LF,FL,Santa Rosa
536,South Dade Dump,FL,Miami-Dade
537,South Dade Solid Waste Disposal Facility,FL,Miami-Dade
539,Southeast Hillsborough County LF,FL,Hillsborough
540,Southport Road SLF Phase I & II,FL,Osceola
541,Springhill Regional Landfill,FL,Jackson
542,St. Lucie County Baling and Recycling Facility,FL,St. Lucie
543,Steelfield Road Landfill,FL,Bay
544,Stock Island LF,FL,Monroe
545,Sunbeam Road SLF,FL,Duval
546,SW Alachua SLF,FL,Alachua
547,Taylor County Central LF,FL,Taylor
548,Tillman Ridge SLF,FL,St. Johns
549,Tomoka Farms Road LF,FL,Volusia
550,Toytown SLF,FL,Pinellas
551,Trail Ridge Landfill Inc.,FL,Duval
552,West Nassau SLF,FL,Nassau
553,Winfield Solid Waste Facility,FL,Columbia
554,Wright LF,FL,Okaloosa
555,Zemel Road Landfill,FL,Charlotte
556,"Advanced Disposal Services Evergreen Landfill, Inc.",GA,Lowndes
557,Athens-Clarke County Landfill,GA,Clarke
558,Atkinson County - SR 50 MSWL,GA,Atkinson
559,Baker Place Road Landfill (Ph 1 & 2),GA,Columbia
560,Bartow County MSWLF,GA,Bartow
561,BJ Landfill,GA,Gwinnett
562,Broadhurst Environmental Landfill,GA,Wayne
563,Button-Gwinnett Landfill Phase III,GA,Gwinnett
564,Camden County SR 110 MSW Landfill,GA,Camden
565,Carroll County - Carrollton SR 166 MSW Landfill,GA,Carroll
566,Cascade Road Landfill,GA,Fulton
567,Catoosa County MSW LF,GA,Catoosa
568,Cedar Grove Landfill,GA,Lamar
569,Chambers-Bolton Road,GA,Fulton
571,"Chesser Island Road Landfill, Inc. MSWL",GA,Charlton
572,"City of Forsyth-Old Brent Road, Phase I&II",GA,Monroe
573,City of LaGrange Landfill,GA,Troup
574,City of Thomasville MSWLF,GA,Thomas
575,City of Tifton / Omega / Eldorado Road LF,GA,Tift
576,Clayton County SR 3 Lovejoy Landfill,GA,Clayton
577,Columbus Pine Grove MSWLF,GA,Muscogee
578,Columbus-Schatulga Road SLF,GA,Muscogee
580,Crisp County Landfill,GA,Crisp
581,Deans Bridge Road MSWLF,GA,Richmond
582,Decatur County Solid Waste Facility,GA,Decatur
583,Dougherty County Fleming/Gaissert Road LF,GA,Dougherty
585,Eagle Point Landfill LLC,GA,Forsyth
587,Fort Benning LF,GA,Muscogee
589,Fulton County Merk Miles Road Landfill,GA,Fulton
590,Gordon County Redbone Ridges LF,GA,Gordon
591,Grady Road Landfill,GA,Polk
592,Gun Club Road landfill,GA,Fulton
593,Habersham County SR13 MSWL,GA,Habersham
594,Hall County Allen Creek Landfill,GA,Hall
595,Hall County Candler Road MSWLF,GA,Hall
597,Hickory Ridge Landfill,GA,DeKalb
598,Highway 309 Landfill,GA,Decatur
599,Jefferson County CR-138 MSWL,GA,Jefferson
600,Key Road Landfill,GA,DeKalb
601,Laurens County - Old Macon Road MSWL,GA,Laurens
602,Liberty County LF,GA,Liberty
603,Live Oak LF,GA,DeKalb
604,Macon Bibb Walker Road MSWL,GA,Bibb
605,Marble Top Road Landfill,GA,Walker
606,Morgan Falls,GA,Fulton
607,Murray County Landfill,GA,Murray
608,Newton County Landfill,GA,Newton
609,Oak Grove Landfill,GA,Barrow
610,Old Dixie Highway MSW Landfill,GA,Whitfield
612,Pine Bluff Landfill,GA,Cherokee
613,Pine Ridge Landfill,GA,Butts
614,Polk County Landfill #1,GA,Polk
615,R & B (Banks) Landfill,GA,Banks
616,Richland Creek Road Landfill,GA,Gwinnett
617,Roberts Road Landfill,GA,Fayette
618,Savannah-Dean Forest Road SL,GA,Chatham
619,Seminole Road MSW Landfill,GA,DeKalb
620,Southern States-Bolton Road,GA,Fulton
621,SR247 MSW Landfill,GA,Houston
622,Superior Landfill & Recycling Center,GA,Chatham
623,Swift Creek Environmental Landfill,GA,Bibb
625,Turkey Run Landfill,GA,Meriwether
628,Walker Mountain Landfill,GA,Floyd
629,Watts Road LF,GA,Fulton
630,"WI Taylor County Disposal, LLC",GA,Taylor
632,"Wolf Creek Landfill, LLC",GA,Twiggs
635,Central Maui Landfill,HI,Maui
636,Hana Landfill,HI,Maui
638,Kalamaula Landfill,HI,Maui
639,Kaneohe Marine Corps Air Station Landfill,HI,Honolulu
640,Kapaa,HI,Honolulu
641,Kapaa and Kalaheo Sanitary Landfills,HI,Honolulu
642,Kekaha Landfill/Phases I & II,HI,Kauai
643,Lanai Landfill,HI,Maui
644,Naiwa Landfill,HI,Maui
645,Olowalu Landfill,HI,Maui
646,Palailai Landfill,HI,Honolulu
647,South Hilo Sanitary Landfill (SHSL),HI,Hawaii
648,Waimanalo Gulch Landfill & Ash Monofill,HI,Honolulu
649,West Hawaii Landfill/Puuanahulu,HI,Hawaii
651,Black Hawk County SLF (Area E),IA,Black Hawk
652,Boone County Landfill,IA,Boone
653,Carroll County Sanitary Landfill,IA,Carroll
655,Cedar Rapids Linn County Solid Waste Landfill #1,IA,Linn
656,Cedar Rapids Linn County Solid Waste Landfill #2,IA,Linn
657,Central Disposal Landfill,IA,Winnebago
659,City of Muscatine LF,IA,Muscatine
660,Clinton County SLF (East),IA,Clinton
661,Des Moines County Regional Sanitary Landfill,IA,Des Moines
662,Dickinson Landfill Inc.,IA,Dickinson
663,Dubuque Metropolitan SLF,IA,Dubuque
664,Fayette County Landfill,IA,Fayette
665,Floyd-Mitchell-Chickasaw Counties Landfill,IA,Mitchell
667,Great River Regional Solid Waste Authority Landfill,IA,Lee
669,Iowa City SLF,IA,Johnson
671,Landfill of North Iowa,IA,Cerro Gordo
672,Loess Hills Regional SLF,IA,Mills
674,Marshall County SLF,IA,Marshall
675,Metro Park East Landfill,IA,Polk
677,Montgomery County Sanitary Landfill,IA,Montgomery
678,Newton SLF,IA,Jasper
679,North Central Iowa Regional SWA Sanitary Landfill,IA,Webster
681,Northwest Iowa Area SWA Landfill,IA,Sioux
683,Ottumwa-Wapello County SLF,IA,Wapello
684,Page County Sanitary Landfill,IA,Page
688,Scott Area SLF,IA,Scott
691,South Central Iowa Landfill,IA,Madison
692,South Central Iowa Sanitary Landfill,IA,Marion
697,Winneshiek County Sanitary Landfill,IA,Winneshiek
698,Ada County Landfill,ID,Ada
700,Bear Lake County Landfill,ID,Bear Lake
701,Bennett Road Landfill,ID,Elmore
703,Bingham County Landfill-Ridge Road,ID,Bingham
705,Bonneville County Landfill,ID,Bonneville
706,Boundary County Landfill,ID,Boundary
709,Circular Butte Sanitary LF,ID,Jefferson
710,Clay Peak Landfill,ID,Payette
711,Fighting Creek Farm Landfill,ID,Kootenai
712,Fort Hall Mine Landfill,ID,Bannock
713,Franklin County Sanitary Landfill,ID,Franklin
717,Hub Butte Landfill,ID,Twin Falls
718,Island Park Sanitary Landfill,ID,Fremont
719,Latah Sanitary Landfill,ID,Latah
720,Lemhi County Landfill 1,ID,Lemhi
721,Lemhi County Landfill 2,ID,Lemhi
722,Milner Butte Landfill,ID,Cassia
723,Mud Lake Landfill,ID,Jefferson
725,Pickles Butte SLF,ID,Canyon
726,Simco Road Regional Landfill,ID,Elmore
727,St. Anthony Landfill,ID,Fremont
728,Teton County Landfill,ID,Teton
729,31st Street Landfill,IL,Cook
730,ADS/McLean County LF #2,IL,McLean
731,Advanced Disposal Orchard Hills Landfill Inc.,IL,Ogle
732,Advanced Disposal Valley View Landfill Inc.,IL,Macon
733,Advanced Disposal Zion Landfill,IL,Lake
734,Alton Municipal Landfill,IL,Madison
736,Beecher Landfill,IL,Will
737,Belleville Sanitary LF,IL,St. Clair
740,Bond County LF,IL,Bond
741,Brickyard Disposal & Recycling Inc.,IL,Vermilion
742,CDT LF,IL,Will
743,Chain of Rocks RDF,IL,Madison
744,CID Recycling and Disposal Facility,IL,Cook
745,Clinton Landfill Inc.,IL,De Witt
746,Coles County Landfill,IL,Coles
747,Congress Development Company LF,IL,Cook
748,Cottonwood Hills LF,IL,St. Clair
749,Countryside LF,IL,Lake
750,Davis Junction Landfill,IL,Ogle
751,DeKalb County LF,IL,DeKalb
752,Des Plaines Landfill,IL,Cook
753,Envirofil of Illinois Inc.,IL,McDonough
754,Environtech LF,IL,Grundy
756,Five Oaks RDF,IL,Christian
757,Freeport Municipal Landfill #4,IL,Stephenson
758,Greene Valley RDF,IL,DuPage
759,H.O.D. Landfill,IL,Lake
761,Hickory Ridge Landfill Inc.,IL,Pike
762,Illinois Landfill Inc.,IL,Vermilion
764,Indian Creek Landfill #2,IL,Tazewell
765,Jerseyville Sanitation Landfill,IL,Jersey
766,K & H Disposal Landfill,IL,Iroquois
767,Kankakee County RDF,IL,Kankakee
769,Knox County LF #3,IL,Knox
770,Lake LF,IL,Cook
771,Land & Lakes #1 and #2,IL,Cook
772,Land & Lakes #3,IL,Cook
773,Land & Lakes/Willow Ranch Landfill,IL,Will
774,LandComp Landfill,IL,LaSalle
775,Landfill 33 Ltd.,IL,Effingham
777,Laraway RDF,IL,Will
778,Lee County Landfill,IL,Lee
779,Litchfield-Hillsboro LF,IL,Montgomery
780,Livingston LF,IL,Livingston
781,Mallard Lake LF,IL,DuPage
782,Milam Recycling and Disposal Facility,IL,St. Clair
783,Modern Landfill,IL,St. Clair
784,Morris Community LF,IL,Grundy
789,Pekin Metropolitan Landfill,IL,Tazewell
790,Peoria City/County Landfills #1 and #2,IL,Peoria
791,Peoria Disposal Company #1,IL,Peoria
792,"Perry Ridge Landfill, Inc.",IL,Perry
793,Prairie View RDF,IL,Will
794,Quad Cities Landfill Phase IV,IL,Rock Island
795,"Quad Cities LF Phases 1, 2, & 3",IL,Rock Island
796,Quincy Landfills #2 and #3,IL,Adams
798,River Bend Prairie Landfill,IL,Cook
799,Rochelle Municipal #2,IL,Ogle
800,Roxana LF,IL,Madison
801,Salem Municipal Landfill #2,IL,Marion
802,"Saline County Landfill, Inc.",IL,Saline
803,Sangamon Valley Landfill Inc.,IL,Sangamon
804,Settler's Hill Recycling & Disposal Facility,IL,Kane
805,South Barrington Landfill,IL,Cook
806,Southern Illinois Regional LF,IL,Jackson
807,Spoon Ridge Landfill,IL,Fulton
808,Streator Area LF No. 3,IL,Livingston
809,Sumner Landfill,IL,Lawrence
810,Taylor Ridge LF,IL,Rock Island
811,Tazewell RDF,IL,Tazewell
812,Upper Rock Island County LF,IL,Rock Island
813,Urbana Municipal #1,IL,Champaign
814,Urbana Municipal #2,IL,Champaign
816,Washington LF Inc.,IL,Tazewell
817,Wayne County Landfill,IL,Wayne
818,West End Disposal Facility,IL,Saline
819,Wheatland Prairie RDF,IL,Will
820,Whiteside County Landfill,IL,Whiteside
821,Winnebago Landfill,IL,Winnebago
822,Woodland RDF,IL,Kane
823,Adams County North & South LFs,IN,Adams
824,Advanced Disposal Blackfoot Landfill,IN,Pike
825,"Advanced Disposal Services Hoosier Landfill, Inc.",IN,Kosciusko
827,Bartholomew County Landfill I,IN,Bartholomew
828,Bartholomew County Landfill II,IN,Bartholomew
